序,47.910603,109.15817,12.2,12.202235,6.002427,3.049695,10.198177
號,59.308662,108.88687,12.2,12.202235,6.002427,3.049695,10.56414
交,91.4694,108.61749,12.2,12.2,6.002427,3.05,9.296402
易,104.0058,108.61624,12.2,12.2,6.002427,3.05,7.5029984
日,116.3194,108.61502,12.2,12.2,6.002427,3.05,5.7584
期,126.037796,108.614044,12.2,12.2,6.002427,3.05,9.601395
1,88.16991,128.78784,21.1,21.1,11.436253,5.275,1.8568039
0,92.606705,128.78738,21.1,21.1,11.436253,5.275,4.4309998
0,98.379906,128.78683,21.1,21.1,11.436253,5.275,4.4309998
/,103.8309,128.78629,21.1,21.1,11.436253,5.275,6.6676025
1,112.7899,128.7854,21.1,21.1,11.436253,5.275,1.8568039
2,116.9899,128.78497,21.1,21.1,11.436253,5.275,4.852997
/,122.7629,128.7844,21.1,21.1,11.436253,5.275,6.667595
2,130.3505,128.78363,21.1,21.1,11.436253,5.275,4.852997
9,136.12349,128.78305,21.1,21.1,11.436253,5.275,4.388794
 ,141.4323,128.78253,21.1,21.1,11.436253,5.275,5.274994
1,88.473465,149.97684,21.1,21.1,11.436253,5.275,1.8568039
0,92.91026,149.97638,21.1,21.1,11.436253,5.275,4.4309998
0,98.56346,149.97583,21.1,21.1,11.436253,5.275,4.4309998
/,104.13446,149.97528,21.1,21.1,11.436253,5.275,6.6676025
1,112.96346,149.9744,21.1,21.1,11.436253,5.275,1.8568039
2,117.17346,149.97397,21.1,21.1,11.436253,5.275,4.852997
/,122.946465,149.97339,21.1,21.1,11.436253,5.275,6.667595
2,130.53406,149.97263,21.1,21.1,11.436253,5.275,4.852997
9,136.30705,149.97205,21.1,21.1,11.436253,5.275,4.388794
 ,141.61586,149.97153,21.1,21.1,11.436253,5.275,5.274994
1,88.5382,171.55682,21.1,21.1,11.436253,5.275,1.8568039
0,92.975,171.55637,21.1,21.1,11.436253,5.275,4.4309998
0,98.7382,171.55582,21.1,21.1,11.436253,5.275,4.4309998
/,104.18919,171.55527,21.1,21.1,11.436253,5.275,6.6676025
